TU	Promoter
csrA	csrAp2
csrA	csrAp1
csrA	csrAp5
csrB	csrBp
csrC	csrCp
csrD	csrDp4
cstA	cstAp3
cstA	cstAp2
cstA	cstAp1
cueO	cueOp
cueR	cueRp6
curA	yncBp4
cusCFBA	cusCp
cusRS	cusRp
cutA	cutAp
cutC	cutCp
cutC	cutCp2
cvpA-purF-ubiX	cvpAp2
cvpA-purF-ubiX	cvpAp1
ubiX	ubiXp
cvrA	cvrAp6
cyaA	cyaAp1
cyaA	cyaAp2
cyaA	cyaAp
cyaR	cyaRp
cyaY	cyaYp5
cybB	cybBp5
cybB	cybBp6
cybB	cybBp7
cybC	
cycA	cycAp
cydAB	cydAp2
cydAB	cydAp3
cydAB	cydAp1
cydAB	cydAp5
cydAB	cydAp4
cydC	cydCp5
cydDC	cydDp
cydX-ybgE	ybgEp4
cynR	cynRp
cynTS	cynTp
cynTSX	cynTp
cyoABCDE	cyoAp
cyoE	cyoEp3
cysB	cysBp
cysC	cysCp3
cysDNC	cysDp
cysE	cysEp
cysH	cysHp
cysJIH	cysJp
cysK	cysKp2
cysK	cysKp1
cysPUWAM	cysPp
cysQ	
cysS	cysSp
cysZ	cysZp1
cytR	cytRp
dacA	dacAp2
dacA	dacAp3
dacB	dacBp5
dacC	dacCp
dacD	
dadAX	dadAp2
dadAX	dadAp3
dadAX	dadAp1
bamC	bamCp
dapA-bamC	dapAp
dapB	dapBp1
dapB	dapBp2
dauA	
dcm-vsr	
dcp	dcpp3
dcrB	dcrBp2
dcrB	dcrBp8
dcrB	dcrBp6
dcrB	dcrBp1
dctA	dctAp
dcuB-fumB	dcuBp
dcuB-fumB	dcuBp2
fumB	fumBp
dcuC	dcuCp
dcuD	dcuDp
dcuD	dcuDp2
dcuR	dcuRp
dcuSR	dcuSp
dcyD-yecSC	dcyDp
yecC	yecCp3
ddlA	
ddpXABCDF	ddpXp
ddpXABCDF	ddpXp2
ddpXABCDF	ddpXp3
def-fmt	defp
degP	degPp
degQS	degQp1
deoABD	deoAp
deoBD	deoBp
deoCABD	deoCp1
deoCABD	deoCp2
deoR	deoRp
dfp	dfpp
dgcZ	dgcZp
dgkA	dgkAp
dgkA	dgkAp1
dgoRKADT	
dgt	dgtp1
dgt	dgtp2
dhaKLM	dhaKp
dhaM	dhaMp
dhaR	dhaRp
diaA	
dicA	
dicB-ydfDE-insD-intQ	dicBp
dicC-ydfXW	dicCp
dicF	
dinB-yafNOP	dinBp
yafNOP	yafNp
dinD	dinDp
dinG	dinGp
dinI	dinIp
dinJ-yafQ	dinJp
dinQ	dinQp
dipZ-yjdC	
yjdC	yjdCp
djlA	djlAp3
dkgB	dkgBp
dld	dldp7
dld	dldp6
dmlA	dmlAp4
dmlR	dmlRp3
dmsABC	dmsAp1
dmsABC	dmsAp2
dnaAN-recF	dnaAp2
dnaAN-recF	dnaAp1
dnaN-recF	dnaNp3
dnaN-recF	dnaNp4
dnaN-recF	dnaNp2
dnaN-recF	dnaNp1
recF	recFp2
recF	recFp1
dnaB	dnaBp
dnaK-tpke11-dnaJ	dnaKp2
dnaK-tpke11-dnaJ	dnaKp3
dnaK-tpke11-dnaJ	dnaKp1
tpke11	
dnaQ	dnaQp1
dnaQ	dnaQp2
dnaQ	
dnaX	dnaXp
dosCP	
dosP	dosPp3
dpiBA	dpiBp2
dpiBA	dpiBp
dppABCDF	dppAp
dps	dpsp
dsbB	dsbBp6
dsbG	dsbGp
dsdC	dsdCp
dsdA	dsdAp
dsdXA	dsdXp
dsrA	dsrAp
dsrB	dsrBp5
dtpB	
dtpD	dtpDp8
dtpD	dtpDp6
dtpD	dtpDp5
dusA	dusAp9
dusA	dusAp6
dusB-fis	dusBp
dusC	dusCp
dut-slmA	dutp
dxr	dxrp4
dxr	dxrp3
dxr	dxrp1
dxr	dxrp5
eaeH-insEF-1E-1F-1	
eamA	
eamB	
ebgAC	ebgAp
ebgR	ebgRp
ecnAB	
ecnB	ecnBp
eco	ecop5
eco	ecop7
ecpA	matBp5
ecpBCDE	matCp2
ecpBCDE	matCp1
ecpR	matAp1
ecpR	matAp9
ecpR	matAp10
ecpR	matAp7
ecpR	matAp5
eda	edap2
eda	edap3
eda	edap1
edd-eda	eddp1
efeOB	efeOp2
efeOB	efeOp1
efeU_1U_2	efeU_1p
efp	efpp
elaA	elaAp4
elaA	elaAp3
elaB	elaBp
elaD	elaDp8
elbB-mtgA	
mtgA	mtgAp4
elfA	elfAp8
elfA	elfAp7
elfA	elfAp6
elfDCG-ycbUVF	elfDp1
elyC	
emrD	emrDp
emrKY	emrKp
emrY	emrYp1
emtA	emtAp4
endA	endAp2
endA	endAp1
entCEBAH	entCp
entH	ybdBp
entS	entSp2
entS	entSp1
envR	envRp9
envR	envRp11
envR	envRp15
envR	envRp12
envR	envRp13
envR	envRp14
envY-ompT	
ompT	ompTp
epd-pgk	epdp
epd-pgk-fbaA	epdp
pgk	pgkp3
pgk	pgkp2
pgk	pgkp1
pgk-fbaA	pgkp3
pgk-fbaA	pgkp2
pgk-fbaA	pgkp1
epmA	epmAp
epmB	epmBp3
eptA	
eptB	eptBp
eptC	yijPp9
erfK	erfKp4
erpA	erpAp
esrE	esrEp
essD-rrrD-rzpD	essDp
essQ-ydfR-rrrQ-ydfP	
ettA	yjjKp11
eutBCLKR	
eutHA	
eutNEJG	
eutSPQTDM	
evgAS	evgAp1
evgAS	evgAp2
exbBD	exbBp
exbD	exbDp
exuR	exuRp
exuT	exutP1
exuT	exuTp2
fabA	fabAp
fabB	fabBp
fabI	fabIp1
fabR-yijD	
fadBA	fadBp
fadD-sroD	fadDp
fadE	fadEp
fadH	fadHp
fadIJ	fadIp
fadL	fadLp
fadM	fadMp1
fadR	fadRp2
fadR	fadRp
fbaB	fbaBp
fbp	
fdhD	
fdhF	fdhFp
fdnGHI	fdnGp
fdhE	fdhEp1
fdoGHI-fdhE	
fdrA-ylbE_1E_2F-ybcF	fdrAp4
feaB	feaBp1
feaB	feaBp2
feaR	feaRp1
feaR	feaRp2
feaR	feaRp3
feaR	feaRp
fecABCDE	fecAp
fecE	fecEp3
fecE	fecEp4
fecE	fecEp5
fecIR	fecIp
feoABC	feoAp
feoC	
entD	entDp2
entD	entDp1
fepA-entD	fepAp
fepB	fepBp
fepDGC	fepDp1
fepDGC	fepDp2
fes-ybdZ-entF-fepE	fesp
fetAB	ybbLp
fetAB	ybbLp6
ffh	ffhp
ffs	ffsp7
ffs	ffsp5
ffs	ffsp6
fhuACDB	fhuAp
fhuE	fhuEp
fhuF	fhuFp2
fhuF	fhuFp
fieF	fieFp4
fieF	fieFp3
fimAICDFGH	fimAp
fimB	fimBp1
fimB	fimBp2
fimB	fimBp3
fimE	fimEp
fimZ	fimZp3
fiu	fiup
fixABCX	fixAp
fklB	
fkpA	fkpAp1
fkpA	fkpAp2
fldA-uof-fur	fldAp
fur	furpb
fur	furpa
uof-fur	uofp
fldB	fldBp
flgAMN	flgAp
flgMN	flgMp
flgN	flgNp1
flgBCDEFGHIJ	flgBp
flgKL	flgKp
flhBAE	flhBp
flhC	flhCp3
flhDC	flhDp2
flhDC	flhDp
fliAZY	fliAp2
fliAZY	fliAp1
fliY	fliYp
fliC	fliCp
fliDST	fliDp1
fliDST	fliDp
fliE	fliEp
fliE	fliEp1
fliFGHIJK	fliFp
fliFGHIJK	fliFp1
fliLMNOPQR	fliLp1
fliLMNOPQR	fliLp2
flk	flKp
flu	flup
flu	flup1
flu	flup2
flxA	flxAp
fnr	fnrp
fnrS	fnrSp
focA-pflB	focAp2
focA-pflB	focAp1
focA-pflB	focAp3
pflB	pflBp5
pflB	pflBp4
pflB	pflBp3
pflB	pflBp1
pflB	pflBp2
folA	folAp
folB	folBp5
dedD	dedDp3
dedD	dedDp2
folC-dedD	
folD-ybcJ	folDp
ybcJ	ybcJp4
ybcJ	ybcJp3
ybcJ	ybcJp5
ybcJ	ybcJp7
folE-yeiB	folEp
yeiB	yeiBp2
folP-glmM	
folX-yfcH	folXp
fpr	fprp
frdABCD	frdAp
frdD	frdDp2
frdD	frdDp7
frdD	frdDp1
fre	frep2
fre	frep1
frlABCDR	frlAp17
frlABCDR	frlAp13
frlABCDR	frlAp5
frmRAB	
frr	frrp3
frr	frrp6
frr	frrp
frsA	frsAp
fruBKA	fruBp
frvABXR	
frvR	frvRp4
frwCB	
frwD	
fryA	fryAp6
fryBC-ypdFE-fryA	
fsaA	fsaAp6
fsr	fsrp9
fsr	fsrp8
fsr	fsrp5
fsr	fsrp6
ftnA	ftnAp
ftnB	ftnBp
ftnB	ftnBp2
ftsB	ftsBp
ftsK	ftsKp1
ftsK	ftsKp3
ftsK	ftsKp2
ftsP	ftsPp1
ftsP	ftsPp2
ftsX	ftsXp4
ftsX	ftsXp3
ftsYEX	
fucAO	fucAp
fucPIKUR	fucPp
fucR	fucRp
fumA	fumAp
fumAC	fumAp
fumC	fumCp1
fumC	fumCp
fxsA	fxsAp
gadAX	gadAp
gadW	gadWp1
gadW	gadWp2
gadX	gadXp
gadXW	gadXp
gadBC	gadBp
gadC	gadCp6
gadC	gadCp1
gadC	gadCp5
gadE	gadEp3
gadE	gadEp2
gadE	gadEp1
gadE-mdtEF	gadEp
gadE-mdtEF	gadEp4
mdtEF	mdtEp3
mdtEF	mdtEp2
mdtEF	mdtEp1
gadY	gadYp
galETKM	galEp2
galETKM	galEp3
galETKM	galEp1
galM	galMp4
galF	galFp
galP	galPp
galR	galRp
galS	galSp
galU	galUp
gapA	gapAp6
gapA	gapAp7
gapA	gapAp3
gapA	gapAp4
gapA	gapAp1
gapA-yeaD	gapAp2
yeaD	
gapC_1C_2	
garD	garDp
garPLRK-rnpB	garPp
rnpB	rnpBp
gatR_1	
gatR_2	gatR_2p
gatYZABCD	gatYp
gatZABCD	gatZp
gcd	gcdp1
gcd	gcdp2
gcl-hyi-glxR-ybbW-allB-ybbY-glxK	gclp
glxK	glxKp
ybbY-glxK	ybbYp
gcvA	gcvAp
gcvB	gcvBp
gcvR	gcvRp
gcvP	gcvPp
gcvTHP	gcvTp
gdhA	gdhAp1
gfcA	gfcAp1
gfcBCD	
gfcD	gfcDp3
etk	etkp1
gfcE-etp-etk	
ggt	
ghoST	ghoSp
ghoST	yjdKp3
ghrA	ghrAp6
ghrB	ghrBp2
ghxP	yjcDp
ghxP	yjcDp6
ghxP	yjcDp5
ghxP	yjcDp7
glcC	glcCp
glcA	glcAp10
glcA	glcAp12
glcBA	glcBp
glcDEFGBA	glcDp
glf-wbbH	
wbbH	rfcp7
wbbH	rfcp11
wbbH	rfcp10
wbbH	rfcp8
glgAP	glgAp
glgBXCAP	glgBp
glgCAP	glgCp2
glgCAP	glgCp1
glgCAP	glgCp3
glgP	glgPp1
glgXCAP	glgXp3
glgS	glgSp2
glgS	glgSp1
glk	glkp1
glk	glkp
glmS	glmSp2
glmUS	glmUp1
glmUS	glmUp2
glmY	glmYp2
glmY	glmYp1
glmZ	glmZp
glnA	glnAp2
glnA	glnAp1
glnALG	glnAp1
glnALG	glnAp2
glnLG	glnLp
glnHPQ	glnHp2
glnHPQ	glnHp1
glnQ	glnQp
glnK-amtB	glnKp
glnS	glnSp1
glnS	glnSp2
gloB	gloBp5
glpABC	glpABCp
glpD	glpDp
glpEGR	glpEp
glpGR	glpGp
glpR	glpRp2
glpR	glpRp1
glpFKX	glpFp
glpX	glpXp2
glpTQ	glpTQp
glrK	glrKp
glnB	glnBp1
glnB	glnBp3
glnB	glnBp2
glrR	
glrR-glnB	
gltA	gltAp2
gltA	gltAp1
gltBDF	gltBp
gltI-sroC-gltJKL	gltIp
gltI-sroC-gltJKL	gltIp1
gltP	gltPp6
gltP	gltPp8
gltP	gltPp1
gltS	gltSp3
gltX	gltXp3
gltX	gltXp2
gltX	gltXp1
glvCBG-ysdC	
glyA	glyAp
glyQS	glyQp
glyS	glySp4
glyU	
glyU	glyUp
glyVXY	glyVp
cysT-leuZ	leuZp3
glyW-cysT-leuZ	glyWp
gmhB	gmhBp
gmk	gmkp
gmr	gmrp
gnd	gndp
gnsB	gnsBp
gntP	gntPp
gntK	gntKp
gntKU	gntKp
gntR	gntRp4
gntR	gntRp3
gntR	gntRp2
gntRKU	gntRp1
gntU	gntUp2
gntT	gntTp2
gntT	gntTp3
gntT	gntTp1
gntX-nfuA	gntXp
nfuA	nfuAp2
nfuA	nfuAp1
gor	gorp
gor	
gpmA	gpmAp2
gpmA	gpmAp
gpmM-envC-yibQ	gpmMp2
gpmM-envC-yibQ	gpmMp
gpp	
gpt	gptp
gpt	
grcA	yfiDp
greA	greAp1
greA	greAp2
greB	greBp7
greB	greBp8
groL	groLp2
groL	groLp3
groL	groLp1
groSL	groSp
grpE	grpEp
grxA	grxAp
grxB	grxBp4
grxB	grxBp2
grxB	grxBp
grxC	grxCp2
grxD	grxD
gshA	
gsk	
gspAB	gspAp3
gspAB	gspAp2
gspAB	gspAp4
gspAB	gspAp1
gspCDEFGHIJKLMO	gspCp1
gspCDEFGHIJKLMO	gspCp3
gspCDEFGHIJKLMO	gspCp2
gss	gssp
gstA	gstAp
gstB	gstBp
guaBA	guaBp
guaC	
gudD	gudDp1
gudPXD	gudPp
gyrA	gyrAp
gyrB	gyrBp
hcaEFCBD	hcaEp
hcaR	hcaRp
hcaT	hcaTp1
hcaT	hcaTp6
hcaT	hcaTp7
hchA	hchAp
hchA	hchAp2
hcp-hcr	hcpp2
hcp-hcr	hcpp
hcr	hcrp3
hda	hdap
hdeAB-yhiD	hdeAp
yhiD	yhiDp1
yhiD	yhiDp8
hdeD	hdeDp
hdfR	hdfRp6
hdfR	hdfRp
hdhA	hdhAp
helD	helDp
hemA	hemAp2
hemA-prfA-prmC	hemAp1
hemB	hemBp7
hemCDXY	
hemH	hemHp
hemL	hemLp
hemL	hemLp1
hemL	hemLp2
hemN	hemNp
hepA	hepAp2
hepA-rluA	hepAp
rluA	rluAp1
hflD-purB	hflDp
hicAB	hicAp
higA	higAp8
higBA	higBp
hinT-ycfL-lpoB-thiK-nagZ-ycfP	hinTp1
hinT-ycfL-lpoB-thiK-nagZ-ycfP	hinTp3
hinT-ycfL-lpoB-thiK-nagZ-ycfP	hinTp2
hipBA	hipBp
hisBHAFI	hisBp
hisL	hisLp
hisLGDCBHAFI	hisLp
hisS	hisSp
hlyE	hlyEp
hmp	hmpAp
hns	hnsp
hofMNOP	hofMp
hofQ	
hokA	hokAp6
hokB	
hokE	hokEp
holC	
holC-valS	holCp
valS	valSp1
valS	valSp2
holD-rimI-yjjG	holDp
holE	holEp6
holE	holEp5
holE	holEp4
hpt	hptp
hrpA	
hrpB	hrpBp2
hscBA-fdx-iscX	hscBp
iscX	iscXp3
hscC	hscCp7
hscC	hscCp5
hsdMS	
hsdRMS	
hsdS	hsdSp1
hslJ	hslJp
hslVU	hslVp
hspQ	hspQp
htgA	htgAp2
htgA	htgAp1
htpG	htpGp1
htpG	htpGp3
htpG	htpGp2
htpX	htpXp
htrL	yibBp9
htrL	yibBp6
htrL	yibBp8
hupA	hupAp
hupB	hupBp4
hupB	hupBp3
hupB	hupBp1
hupB	hupBp2
hyaABCDEF	hyaAp
hybOABCDEFG	hybOp1
hycABCDEFGHI	hycAp
hycI	hycIp4
hydN-hypF	hydNp
hypF	hypFp2
hypF	hypFp3
hypF	hypFp1
hyfABCDEFGHIJR-focB	hyfAp
hypABCDE	hypAp
hypABCDE-fhlA	hypAp
hypBCDE	hypBp
hypBCDE-fhlA	hypBp
hypT	hypTp4
hyuA	hyuAp6
hyuA	hyuAp1
iaaA-gsiABCD	iaaAp
iap	iapp6
iap	iapp7
ibaG	ibaGp2
ibaG	ibaGp9
ibaG	ibaGp4
ibaG-murA	ibaGp
murA	
ibpAB	ibpAp
ibpB	ibpBp
icd	icdAp1
icd	icdAp2
icdC	
iclR	iclRp
idi	idip7
idi	idip5
idi	idip10
idi	idip4
idnDOTR	idnDp
idnR	idnRp
idnK	idnKp
ileX	ileXp
ileY	
ilvC	ilvCp
ilvIH	ilvIHp1
ilvIH	ilvIp4
ilvIH	ilvIp3
ilvIH	ilvIp2
ilvA	ilvAp
ilvEDA	ilvEp3
ilvL	ilvLp1
ilvL	ilvLp2
ilvLXG_1G_2MEDA	ilvLp1
ilvLXG_1G_2MEDA	ilvLp2
ilvY	ilvYp
inaA	inaAp
infA	infAp1
infA	infAp2
insA-4AB-4B-4	
insA-7	insAp13
insA-7	insAp14
insA-1AB-1B-1	
insA-2AB-2B-2-afuBC	
insA-3AB-3B-3	
insA-5AB-5B-5	insA-5p
insB-7_1B-7_2	
insC-1CD-1D-1	
insC-5CD-5D-5-yqiGHI	insC-5p
insC-6CD-6D-6	
insC-2CD-2D-2	
insC-3CD-3D-3	
insC-4CD-4D-4-ygeONM	
insE-3EF-3F-3	
insE-5EF-5F-5	
insE-2EF-2F-2	
insEF-2F-2	insFp5
insEF-2F-2	insFp4
insE-4EF-4F-4	
insEF-4F-4	insFp4
insEF-4F-4	insFp5
insG	insGp6
insH-1	insHp5
insH-10	
insH-11	insHp3
insH-11	insHp4
insH-2	insHp4
insH-3	insHp6
insH-3	insHp5
insH-3	insHp3
insH-4	insHp7
insH-5	insHp3
insH-6	insHp4
insH-6	insHp2
insH-7	insHp6
insH-7	insHp4
insH-7	insHp5
insH-8	
insH-9	insHp4
insI-2	
insJ	insJp4
insK	insKp
insL-1	insLp6
insL-1	insLp5
insL-2	insLp5
insL-3	insLp5
insI-3	insIp5
insMI-3	
insN-1I-1O-1	insN-1p
insN-2	insNp
insO-2-yjhWV	
intA	
intB	
intD	intDp6
intF	
intG	
intS	intSp5
intS	intSp
intZ	intZp3
iraD	iraDp1
iraD	iraDp2
iraM	iraMp
iraM	iraMp2
iraP	iraPp1
iraP	iraPp2
iscA	iscAp6
iscA	iscAp7
iscRSUA	iscRp
ispB	
ispDF	
ispF	ispFp3
ispF	ispFp2
ispG-sroE	ispGp4
ispG-sroE	ispGp5
ispG-sroE	ispGp1
ispU	ispUp1
ispU	ispUp2
isrB	
isrC	
istR-1	istR-1p
istR-2	istR-2p
ivbL	ivbLp
ivbL-ilvBN	ivbLp
ivbL-ilvBN-uhpABC	
uhpABC	
ivy	ivyp4
ivy	ivyp5
katE	katEp
katG	katGp
kbaZ-agaVWA	kbaZp
kbl-tdh	kblp
kch	kchp
kdgK	
kdgR	kdgRp8
kdgR	kdgRp9
kdgR	kdgRp1
kdgT	
kdpDE	
kdpE	kdpEp3
kdpFABC	kdpFp
kduD	
kduI	kduIp5
kefFC	kefFp2
kefGB-yheV	
yheV	yheVp1
kgtP	kgtPp6
kgtP	kgtPp7
kgtP	kgtPp8
kilR-ydaE	
