TU	Promoter
tamAB-ytfP	tamAp1
tar-tap-cheRBYZ	tarp
tas	tasp4
tatABC	tatAp1
tatABCD	tatAp1
tatD	
tatE	tatEp3
tauABCD	tauAp
tcdA	
tdcABCDEFG	tdcAp
tdcBCDEFG	tdcBp
tdcG	tdcGp2
tdcR	tdcRp8
tdcR	tdcRp4
tdcR	tdcRp5
tdcR	tdcRp6
tdcR	tdcRp7
tdk	tdkp8
tdk	tdkp1
tehAB	tehAp
tesA-ybbO	tesAp
ybbO	ybbOp4
tesB	tesBp
tfaD	
tfaS	
tfaX	
tff-rpsB-tsf	rpsBp
tgt-yajC	tgtp
yajC-secDF	yajCp
thiCEFSGH	
thiI	thiIp
thiD	thiDp3
thiMD	thiMp
thrL	thrLp
thrLABC	thrLp
ihfA	ihfAp4
infC	infCp
infC-rpmI-rplT	infCp2
pheM	pheMp
pheMST-ihfA	pheMp
rplT	rplTp
rplT-pheM	rplTp
rpmI-rplT	rpmIp
thrS-infC	thrSp
thrS-infC-rpmI-rplT-pheMST-ihfA	thrSp
thrU-tyrU-glyT-thrT-tufB	thrUp
thrW	thrWp
tig	tigp1
tig	tigp3
tig	tigp
tilS	
tisB	tisBp
tktA	tktAp1
tldD	tldDp7
tldD	tldDp6
tnaC	tnaCp
tnaCAB	tnaCp
tolB-pal-ybgF	tolBp3
tolB-pal-ybgF	tolBp6
tolC-ygiABC	tolCp2
tolC-ygiABC	tolCp1
tolC-ygiABC	tolCp3
tolC-ygiABC	tolCp4
hha	hhap6
tomB-hha	tomBp1
tonB	tonBp
topA	topAp1
topA	topAp2
topA	topAp3
topA	topAp4
topA	topAp5
torCAD	torCp
torI	
torR	torRp
torS	torSp5
torT	torTp7
torT	torTp1
torT	torTp2
torYZ	
tp2	
tpiA	tpiAp1
tpiA	tpiAp2
tpke70	
tppB	tppBp
tpx	tpxp
tqsA	tqsAp
treA	treAp
treBC	treBp
treF	treFp
treR	treRp4
treR	treRp3
treR	treRp2
treR	treRp1
trg	trgp1
trkA	trkAp
trkG	trkGp1
trkG	trkGp8
trkG	trkGp7
trmA	trmAp
trmI-yggL	
yggL	yggLp2
yggL	yggLp3
trmJ	
trmL	
trpA	trpAp4
trpA	trpAp5
trpA	trpAp7
trpA	trpAp8
trpCBA	trpCp
trpL	trpLp
trpLEDCBA	trpLp
trpR	trpRp
trpT	trpTp2
truD	
trxA	trxAp2
trxA	trxAp1
trxB	trxBp
trxC	trxCp
tsaB-yeaY	tsaBp
yeaY	yeaYp
tsaD	tsaDp2
tsaD	tsaDp3
tsgA	tsgAp
tsr	tsrp1
tsr	tsrp
tsx	tsxp2
tsx	tsxp1
ttcA	ttcAp5
ttdABT	ttdAp
ttdR	ttdRp
tus	tusp2
tusA	tusAp7
tusE	
tynA	tynAp1
tynA	tynAp
typA	typAp1
typA	typAp6
tyrB	tyrBp
tyrP	tyrPp1
tyrP	tyrPp2
tpr	tprp1
tyrTV-tpr	tyrTp
tyrV-tpr	tyrVp
uacT	ygfUp6
ubiCA	ubiCp
ubiD	ubiDp8
ubiD	ubiDp9
ubiEJB	ubiEp2
ubiEJB	ubiEp4
ubiF	
ubiG	ubiGp
ucpA	ucpAp1
ucpA	ucpAp2
dcd	dcdp
udk-dcd	
udp	udpP
ugd	ugdp9
ugpBAECQ	ugpBp1
ugpBAECQ	ugpBp2
ugpQ	ugpQp1
uhpT	uhpTp
uidABC	uidAp
uidC	uidCp6
uidC	uidCp5
uidR	uidRp
ulaABCDEF	ulaAp
ulaG	ulaGp
ulaR	ulaRp5
umpG-pcm	surEp2
umuDC	umuDp
ung	ungp
upp-uraA	uppp
ushA	ushAp6
uspA	uspAp2
uspA	uspAp3
uspA	uspAp1
uspB	uspBp
uspC	uspCp6
uspC	uspCp8
uspC	uspCp9
uspC	uspCp2
uspC	uspCp4
uspC	uspCp5
uspE	uspEp
uspF	uspFp
uspG	uspGp
uvrA	uvrAp
uvrB	uvrBp3
uvrB	uvrBp1
uvrB	uvrBp2
uvrD	uvrDp2
uvrD	uvrDp1
uvrC	uvrCp3
uvrYC	uvrYp2
uxaB	uxaBp2
uxaB	uxaBp
uxaCA	uxaCp
uxaCA	uxaCp1
uxuAB	uxuAp
uxuR	uxuRp
valUXY-lysV	valUp
valVW	valVp
valZ-lysY	
ves	vesp
waaA	waaAp1
waaA	waaAp2
waaA-coaD	waaAp1
waaH	yibDp1
waaH	
waaQGPSBIJYZU	rfaQp2
waaQGPSBIJYZU	waaQp1
waaU	waaUp5
waaU	waaUp6
waaU	waaUp8
waaU	waaUp9
waaYZ	rfaYp
waaZU	rfaZp
wbbIJK	
wbbK	wbbKp4
wbbL_2	
wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC	
wzxC	wzxCp5
wcaKLM	
wcaM	wcaMp1
wecH	
wrbA-yccJ	wrbAp
wza-wzb-wzc	wzap2
wza-wzb-wzc-wcaAB	wzap
wzzB	cldp9
wzzB	cldp7
wzzB	cldp6
wzzB	cldp10
xanP	xanPp4
xanP	xanPp5
xanQ-guaD-ghxQ	xanQp3
xapAB	xapAp
xapR	xapRp2
xapR	xapRp1
xdhABC	xdhAp2
xdhABC	xdhAp
dsbC	dsbCp
dsbC-recJ-prfB	dsbCp2
prfB-lysS	
xerD	
xerD-dsbC-recJ	xerDp
xseA	xseAp
xseB-ispA-dxs-yajO	xseBp
yajO	yajOp
xthA	xthAp
xylAB	xylAp
xylE	xylEp1
xylE	xylEp8
xylFGHR	xylFp
xylR	xylRp
yaaA	yaaAp3
yaaA	yaaAp5
yaaI	yaaIp3
yaaI	yaaIp2
yaaI	yaaIp4
yaaJ	yaaJp4
yaaU	yaaUp
yaaW	yaaWp3
yaaX	yaaXp4
yabI	yabIp
yabPQ	
yacC-speED	yacCp
yacH	yacHp5
yacH	yacHp3
yacL	yacLp
yadD	yadDp5
yadD	yadDp3
yadD	yadDp4
yadE	yadEp3
yadE	yadEp4
yadGH	
yadI	
yadC	yadCp
yadMLKC	
yadN	yadNp1
yadN	yadNp7
yadN	yadNp8
htrE	htrEp1
htrE	htrEp5
yadV-htrE	yadVp3
yadV-htrE	yadVp2
yadV-htrE	yadVp1
yaeF	yaeFp1
yaeH	
yaeI	
yaeP-rof	yaePp
yaeQ-arfB-nlpE	yaeQp3
yaeQ-arfB-nlpE	yaeQp6
yaeQ-arfB-nlpE	yaeQp
yaeR	yaeRp3
yafC	yafCp6
yafDE	yafDp
yafF	
yafJ	
yafK	yafKp6
yafL	yafLp6
yafS	yafSp2
yafT	yafTp5
yafT	yafTp4
yafT	yafTp6
yafU	yafUp
yafV	yafVp
yafY-ykfBF-yafX-ykfGH-yafW-ykfI	
ykfBF-yafX-ykfGH-yafW-ykfI	ykfBp2
ykfBF-yafX-ykfGH-yafW-ykfI	ykfBp1
ykfGH-yafW-ykfI	ykfGp
ykfI	ykfIp7
yagAB-ykgN	
yagEF	yagEp3
yagEF	yagEp8
yagGH	yagGp9
yagGH	yagGp7
yagGH	yagGp6
yagGH	yagGp8
yagI	yagIp1
yagJ	
yagK	yagKp6
yagL	yagLp7
yagML	
yagN	yagNp5
yagN	yagNp8
yagN	yagNp3
yagN	yagNp4
yagP	
yagU	
yahA	yahAp2
yahA	yahAp1
yahB	
yahC	yahCp5
yahDEFG	
yahE	yahEp
yahH	
yahIJ	
yahK	
yahL	
yahM	yahMp5
yahM	yahMp4
yahN	yahNp6
yahN	yahNp5
yahO	yahOp
yaiE	yaiEp
yaiF	
yaiI	yaiIp7
yaiI	yaiIp6
yaiI	yaiIp3
yaiL	
yaiP	yaiPp5
yaiS	yaiSp14
yaiS	yaiSp13
yaiS	yaiSp9
yaiS	yaiSp12
yaiT	
yaiU	
yaiV	yaiVp4
yaiO	yaiOp5
yaiO	yaiOp6
yaiO	yaiOp4
yaiXO	
yaiY	yaiYp5
yaiY	yaiYp6
yaiZ	yaiZp
yaiZ	yaiZp6
yajD	yajDp5
yajD	yajDp6
yajG	
yajI	yajIp6
yajQ	yajQp
yajR	yajRp
ybaA	
ybaB-recR	ybaBp
ybaE	
ybaK	
ybaL	ybaLp
ybaN	ybaNp8
ybaN	ybaNp9
ybaN	ybaNp6
ybaN	ybaNp1
ybaO	ybaOp
ybaP	ybaPp4
ybaP	ybaPp3
ybaP	ybaPp6
ybaQ	ybaQp3
ybaQ	ybaQp
ybaST	ybaSp
ybaV	ybaVp3
ybaY	ybaYp3
ybbAP	
ybbB	selUp5
ybbB	selUp4
ybbN	ybbNp2
ybbN	ybbNp1
ybcC	
ybcD	
ybcH	ybcHp4
ybcI	ybcIp5
ybcK	ybcKp7
ybcK	ybcKp5
ybcK	ybcKp1
ybcLM	ybcLp7
ybcLM	ybcLp2
ybcN-ninE-ybcO-rusA-ylcG	ybcNp5
ybcN-ninE-ybcO-rusA-ylcG	ybcNp6
ybcQ	quuDp3
ybcV	
ybcW	ybcWp4
ybcW	ybcWp7
ybcY	
ybdD	ybdDp2
ybdF	ybdFp5
ybdG	
ybdH	ybdHp6
ybdH	ybdHp7
ybdJ	ybdJp3
ybdJ	ybdJp5
ybdJ	ybdJp2
ybdJ	ybdJp4
ybdK	ybdKp3
ybdL	ybdLp3
ybdM	ybdMp2
ybdN	ybdNp
ybdO	
ybdR	ybdRp6
lipB	lipBp2
lipB	lipBp3
ybeD	
ybeD-lipB	ybeDp
ybeF	ybeFp4
ybeF	ybeFp5
ybeF	ybeFp6
ybeF	ybeFp7
ybeL	ybeLp
ybeM_1M_2	
ybeQ	ybeQp1
ybeQ	ybeQp12
ybeQ	ybeQp10
ybeQ	ybeQp8
ybeQ	ybeQp11
ybeQ	ybeQp5
ybeR-djlB	ybeRp7
ybeR-djlB	ybeRp5
ybeR-djlB	ybeRp6
ybeT	ybeTp8
ybeU-djlC	ybeUp5
ybeU-djlC	ybeUp4
lnt	lntp4
ybeX-lnt	
ybeZY	
ybeZYX-lnt	ybeZp
ybfA	ybfAp7
ybfA	ybfAp8
ybfD	
ybfE	ybfEp
ybfF	ybfFp1
ybfHG	ybfHp
ybfL	
ybfOC	
ybfP	
ybfQ	
phr	phrBp
ybgA-phr	ybgAp1
ybgA-phr	ybgAp2
ybgC-tolQRA	ybgCp5
ybgC-tolQRA	ybgCp6
ybgD	ybgDp9
ybgIJKL-nei	ybgIp2
ybgIJKL-nei	ybgIp1
ybgO	ybgOp4
ybgO	ybgOp3
ybgQPO	
ybgS	ybgSp5
ybgS	ybgSp2
ybgS	ybgSp1
ybgS	ybgSp7
ybgS	ybgSp8
ybhA	ybhAp10
ybhA	ybhAp6
ybhB	ybhBp4
ybhB	ybhBp2
ybhC	ybhCp
ybhD	ybhDp2
ybhD	ybhDp5
ybhH	ybhHp7
ybhH	ybhHp8
ybhI	
ybhJ	
ybhK	ybhKp
ybhL	
ybhM	ybhMp7
ybhN	ybhNp5
ybhP-clsB-ybhN	
ybhQ	ybhQp
ybiA	ybiAp6
ybiB	
ybiC	
ybiH-ybhGFSR	
ybiI	ybiIp6
ybiJ	
ybiO	ybiOp2
ybiO	ybiOp5
ybiS	ybisp
ybiT	ybiTp
ybiU	ybiUp7
ybiU	ybiUp6
ybiU	ybiUp5
ybiV	ybiVp5
ybiX	ybiXp2
ybiW	ybiWp4
ybiYW	
rimK-ybjN	rimKp
ybjC-nfsA-rimK-ybjN	ybjCp
ybjN	ybjNp
ybjD	
ybjE	ybjEp5
ybjE	ybjEp3
ybjG	ybjGp
ybjH	
ybjJI	
ybjL	ybjLp12
ybjL	ybjLp10
ybjM	ybjMp8
ybjM	ybjMp4
ybjO-rlmC	ybjOp4
ybjO-rlmC	ybjOp5
ybjP	ybjPp
ybjQ-amiD	ybjQp
ybjS	ybjSp3
ybjX	ybjXp
ycaC	
ycaD	ycaDp1
ycaD	ycaDp6
ycaI-msbA-lpxK-ycaQ	ycaIp8
ycaI-msbA-lpxK-ycaQ	ycaIp7
ycaI-msbA-lpxK-ycaQ	ycaIp6
ycaK	ycaKp3
ycaK	ycaKp4
ycaK	ycaKp5
ycaL	ycaLp1
ycaL	ycaLp6
ycaL	ycaLp9
ycaL	ycaLp8
ycaM	ycaMp5
ycaM	ycaMp4
ycaM	ycaMp3
ycaM	ycaMp2
ycaN	
ycaO	
ycaP	
ycaR-kdsB	ycaRp
ycbB	ycbBp
ycbJ	ycbJp
ycbKL	ycbKp
ycbX	
ycbZ	ycbZp4
yccA	yccAp
yccE	yccEp
yccFS	yccFp
yccS	yccSp2
yccS	yccSp3
yccM	
yccT	yccTp
yccT	yccTp5
yccU	
yccX	yccXp5
yccX	yccXp4
yccX	yccXp7
ycdT	ycdTp
ycdXY	
ycdZ	ycdZp4
yceA	yceAp
yceB	
acpP	acpPp
acpP-fabF	acpPp
fabDG-acpP	
fabF	
fabG-acpP	
fabHDG	fabHp
plsX-fabHDG	
rpmF-plsX-fabHDG	rpmFp
yceD-rpmF	yceDp2
yceD-rpmF	yceDp1
yceF	yceFp9
yceF	yceFp8
yceF	yceFp7
yceF	yceFp6
yceH	yceHp4
yceH	yceHp2
yceI	yceIp5
yceJI	yceJp
yceK	
yceM	yceMp4
yceQ	yceQp6
ycfD	ycfDp5
ycfD	ycfDp4
ycfJ	ycfJp3
ycfS	ycfSp
ycfT	ycfTp9
ycfT	ycfTp11
ycgB	ycgBp
ycgG	ycgGp7
ycgH_1	
ycgH_2	
ycgJ	ycgJp5
ycgL	ycgLp
ycgM	
ycgN	ycgNp3
ycgN	ycgNp1
ycgN	ycgNp5
ycgR	ycgRp
ycgV	ycgVp10
ycgV	ycgVp9
ycgX	ycgXp4
ycgX	ycgXp5
ycgY	ycgYp6
ycgY	ycgYp1
ycgZ	
ycgZ-ymgA-ariR-ymgC	ycgZp
ymgA-ariR	
ymgC	
ychE	ychEp8
ychE_2-yhcF	
yhcF	yhcFp1
yhcF	yhcFp4
yhcF	yhcFp5
ychG_1G_2	
ychH	ychHp
ychJ	ychJp
ychN	ychNp4
ychO	ychOp
kdsA	kdsAp
ychQA-kdsA	ychQp
ychS	
yciA	yciAp8
yciB	yciBp3
yciCB	yciCp
yciE	yciEp7
yciE	yciEp6
yciE	yciEp
yciE	yciEp2
yciG	yciGp
yciGFE	yciGp
yciI	yciIp
yciK-btuR	
yciN	yciNp10
yciN	yciNp9
yciN	yciNp8
yciN	yciNp5
yciN	yciNp11
pyrF-yciH	pyrFp
yciSM	
yciSM-pyrF-yciH	yciSp
yciVOQ	yciVp
yciW	yciWp4
yciY	
yciT	yciTp1
yciT	yciTp
yciZT	yciZp
ycjD	ycjDp4
ycjD	ycjDp5
ycjG	ycjGp
ycjMNOPQRSTUV-ymjB	ycjMp3
ycjMNOPQRSTUV-ymjB	ycjMp4
ycjW	ycjWp2
tyrR	tyrRp
ycjXF	
ycjXF-tyrR	ycjXp
mpaA	mpaAp2
mpaA	mpaAp4
ycjY	ycjYp6
ycjY-ymjDC-mpaA	ycjYp6
ymjC-mpaA	
ydaGF	
ydaM	
ydaN	ydaNp
ydaSTUVW-rzpR	ydaSp4
ydaSTUVW-rzpR	ydaSp3
ydaSTUVW-rzpR	ydaSp2
ydaSTUVW-rzpR	ydaSp6
ydbA_1	
ydbA_2	
ydbC	ydbCp1
ydbD	ydbDp
ydbH-ynbE-ydbL	ydbHp9
ydbJ	ydbJp1
ydbJ	ydbJp
ompN	ompNp3
ompN	ompNp6
ompN	ompNp4
ydbK	ydbKp
ydbK-ompN	ydbKp4
ydbK-ompN	ydbKp
ydcA	ydcAp6
ydcA	ydcAp7
ydcC	
ydcF	ydcFp4
ydcF	ydcFp3
ydcH	
ydcI	ydcIp4
ydcI	ydcIp
ydcJ	ydcJp11
ydcJ	ydcJp10
ydcK	ydcKp8
ydcL	ydcLp7
ydcL	ydcLp6
ydcL	ydcLp5
ydcL	ydcLp1
ydcL	ydcLp4
ydcM	
ydcN	ydcNp5
ydcO	
ydcP	ydcPp2
ydcR	ydcRp
patD	patDp4
patD	patDp3
ydcSTUV-patD	ydcSp1
ydcSTUV-patD	ydcSp7
ydcSTUV-patD	ydcSp9
ydcX	ydcXp1
ydcX	ydcXp9
ydcX	ydcXp7
ydcY	ydcYp3
yddAB	
yddB	yddBp6
yddE	yddEp5
yddG	yddGp
yddH	
yddJ	yddJp8
yddJ	yddJp6
yddJ	yddJp5
yddJ	yddJp1
yddJ	yddJp9
yddLKJ	
yddM	
yddW	yddWp6
ydeA	ydeAp
ydeE	ydeEp1
ydeE	ydeEp4
ydeI	ydeIp6
ydeI	ydeIp5
ydeI	ydeIp1
ydeJ	ydeJp
ydeK	
ydeM	
ydeN	ydeNp7
ydeN	ydeNp3
ydeP	ydePp
ydeQ	ydeQp
ydeR	ydeRp1
ydeTSR	
ydeU	
ydfABC	ydfAp6
ydfABC	ydfAp8
ydfG	ydfGp
ydfH	ydfHp
ydfI	
ydfJ	
ydfK	ydfKp5
ydfK	ydfKp
ydfUT	
ydfV	
ydfZ	
ydgA	ydgAp
ydgC	ydgCp3
ydgD	ydgDp4
ydgD	ydgDp7
ydgH	ydgHp5
ydgI-folM	
ydgJ	ydgJp6
rsxABCDGE-nth	rsxAp
ydgK-rsxABCDGE-nth	ydgKp
ydhB	ydhBp2
ydhC	ydhCp5
ydhC	ydhCp6
ydhC	ydhCp1
ydhF	ydhFp1
ydhF	ydhFp3
ydhIJK	ydhIp
ydhL	ydhLp3
ydhP	
ydhQ	ydhQp
ydhR	
ydhS	ydhSp3
ydhS	ydhSp5
ydhS	ydhSp6
ydhT	ydhTp1
ydhXUT	
ydhYVW	
ydhYVWXUT	ydhYp
ydhZ	ydhZp5
ydhZ	ydhZp6
ydiE	ydiEp5
ydiFO	
ydiH	ydiHp3
ydiH	ydiHp2
ydiJ-menI-ydiH	
ydiK	
ydiL	
ydiM	ydiMp1
ydiM	ydiMp5
ydiNB-aroD	ydiNp6
ydiP	ydiPp
ydiQRST-fadK	
ydiU	ydiUp
ydiV	ydiVp
ydiY	ydiYp11
ydiY	ydiYp12
ydiY	ydiYp6
ydiZ	
selD-topB	selDp2
selD-topB	selDp1
ydjA-selD-topB	ydjAp
ydjE	ydjEp6
ydjE	ydjEp5
ydjF	ydjFp1
ydjF	ydjFp7
ydjLKJIHG	
ydjM	ydjMp
ydjN	
ydjO	ydjOp4
ydjO	ydjOp7
ydjO	ydjOp9
ydjO	ydjOp10
ydjXYZ-ynjABCD	ydjXp5
ydjXYZ-ynjABCD	ydjXp1
yeaC	
yeaE	yeaEp
yeaGH	yeaGp1
yeaGH	yeaGp2
yeaI	yeaIp5
yeaI	yeaIp6
yeaJ	yeaJp6
yeaK	
yeaL	yeaLp
yeaM	yeaMp1
yeaM	yeaMp6
yeaN	yeaNp9
yeaN	yeaNp4
yeaO	yeaOp4
yeaO	yeaOp3
yeaP	yeaPp
yeaP	yeaPp3
yeaQ	yeaQp3
yeaQ	yeaQp1
yeaR-yoaG	yeaRp
yeaVW	
yeaX	
yebB	yebBp1
yebB	yebBp2
yebE	yebEp
yebF	
yebG	yebGp
yebK	yebKp2
yebO	
yebQ	yebQp4
yebQ	yebQp5
yebST	yebSp6
yebST	yebSp5
yebV	yebVp6
yebV	yebVp5
yebV	yebVp2
yebV	yebVp1
yebW	yebWp6
yebW	yebWp3
yecA	
yecDE	yecDp8
yecDE	yecDp7
yecDE	yecDp4
yecF	yecFp
yecH	yecHp5
yecH	yecHp3
yecJ	yecJp4
yecM	yecMp2
yecM	yecMp3
yecN-cmoAB	
yecR	yecRp
yecT	yecTp3
yedA	
yedD	yedDp5
yedEF	yedEp8
yedI	yedIp2
yedI	yedIp3
yedK	
yedL	
yedM	
yedN_1N_2	
yedP	
yedQ	
yedJ	yedJp4
yedJ	yedJp3
yedRJ	
yedS_1S_2	
yedS_3	
yedV	yedVp6
yedWV	
yedX	hiuHp6
yedYZ	yedYp4
yeeA	yeeAp6
yeeED	yeeEp
yeeJ	yeeJp8
yeeL_1L_2	
yeeN	yeeNp7
yeeN	yeeNp4
yeeO	yeeOp1
yeeO	yeeOp6
yeeO	yeeOp7
yeeP	
yeeRST-cbeA-cbtA-yeeW	
yeeX	yeeXp4
yeeY	
yeeZ	yeeZp5
yeeZ	yeeZp7
yefM-yoeB	yefMp
yegD	yegDp2
yegE	
yegH	yegHp
yegI	yegIp9
yegI	yegIp7
yegI	yegIp8
yegJ	yegJp7
yegJ	yegJp8
yegLK	
yegP	
yegQ	yegQp1
yegRZ	yegRp
yegS	yegSp8
yegS	yegSp7
yegS	yegSp6
yegS	yegSp5
yegTUV	yegTp
yegW	yegWp
yegX	yegXp1
yegX	yegXp6
yehA	yehAp6
yehDCBA	
yehE	yehEp8
yehE	yehEp1
yehE	yehEp7
yehK	yehKp1
yehLMPQ	yehLp3
yehR	yehRp
yehS	yehSp
yehUT	
yeiE	yeiEp7
yeiE	yeiEp5
yeiE	yeiEp6
yeiG	yeiGp6
yeiH	yeiHp7
yeiI	yeiIp2
yeiL	yeiLp
yeiL	
yeiP	yeiPp
yeiQ	yeiQp6
yeiQ	yeiQp5
yeiR-lpxT	yeiRp3
yeiW	yeiWp6
yeiW	yeiWp
yeiW	yeiWp7
yejABEF	yejAp
yejG	yejGp5
yejG	yejGp8
yejH	yejHp
yejK	yejKp5
yejLM	
yejO	yejOp
yfaATS_1S_2QP	
yfaP	yfaPp4
yfaD-ypaA	yfaDp5
yfaH	
yfaL	yfaLp7
yfaL	yfaLp8
yfaL	yfaLp1
yfaL	yfaLp3
yfaU	rhmAp3
yfaVU	
yfaXW	
yfaXWVU	
yfaY	yfaYp
yfaZ	yfaZp4
yfaZ	yfaZp5
yfbK	yfbKp7
yfbK	yfbKp3
yfbL	yfbLp10
yfbL	yfbLp3
yfbL	yfbLp7
yfbL	yfbLp5
yfbL	yfbLp9
yfbM	
yfbN	yfbNp1
yfbN	yfbNp8
yfbO	yfbOp6
yfbO	yfbOp1
yfbO	yfbOp5
yfbP	yfbPp7
yfbS	
yfbUT	
yfbV	
yfcC	
yfcD	yfcDp
yfcE	yfcEp
yfcF	
yfcG	
yfcI	yfcIp7
yfcI	yfcIp8
yfcJ	yfcJp2
yfcUTSRQPO	
yfcV	yfcVp8
yfcV	yfcVp7
yfcV	yfcVp6
yfcV	yfcVp9
yfcZ	yfcZp
yfdC	
yfdF	yfdFp7
yfdF	yfdFp8
yfdF	yfdFp9
yfdF	yfdFp4
yfdGHI	yfdGp4
yfdONMLK	
yfdPQ	yfdPp9
yfdPQ	yfdPp6
yfdPQ	yfdPp5
yfdRST	
frc	frcp
oxc	oxcp11
oxc	oxcp10
yfdE	
yfdV	
yfdX-frc-oxc-yfdVE	yfdXp
yfdY	yfdYp5
yfdY	yfdYp6
yfeA	yfeAp5
yfeA	yfeAp6
yfeCD	yfeCp
yfeCD	yfeCp3
yfeCD	yfeCp5
yfeCD	yfeCp4
yfeH	yfeHp3
yfeH	yfeHp5
yfeKS	yfeKp
yfeN	
yfeO	yfeOp1
yfeR	yfeRp1
yfeX	yfeXp5
yfeX	yfeXp3
yfeYX	yfeYp
dapE-ypfN	dapEp
yffB-dapE-ypfN	yffBp
yffL	
yffMN	
yffOP	yffOp
yffOP	yffOp7
yffOP	yffOp8
yffOP	yffOp1
yffQR	yffQp1
yffQR	yffQp3
yffS	yffSp4
yfgF	yfgFp
yfgG	yfgGp
yfgG	yfgGp5
yfgG	yfgGp6
yfgG	yfgGp7
yfgHI	yfgHp10
yfgJ	
yfgM	yfgMp1
yfgM	yfgMp2
yfgM	yfgMp3
yfgO	
yfhG	
yfhH	yfhHp5
yfhL	yfhLp
pbpC	pbpCp1
pbpC	pbpCp2
yfhM-pbpC	yfhMp
yfhR	yfhRp4
yfhR	yfhRp2
yfiC	yfiCp3
yfiE	yfiEp7
yfiF	
yfiL	yfiLp8
yfiL	yfiLp9
yfiL	yfiLp10
yfiM	yfiMp2
pka	pkap
yfiP-pka	
yfiRN	yfiRp8
yfiRN	yfiRp6
yfiRN	yfiRp7
yfiRN	yfiRp3
yfiRNB	yfiRp5
yfjD	
yfjH	yfjHp3
yfjH	yfjHp2
yfjI	yfjIp3
yfjI	yfjIp8
yfjI	yfjIp9
yfjI	yfjIp10
yfjJ	yfjJp6
yfjLK	
yfjM	yfjMp3
yfjPQ	yfjPp5
yfjPQ	yfjPp8
yfjPQ	yfjPp6
yfjR-ypjK-yfjST	
yfjW	yfjWp5
yfjXY-ypjJ-yfjZ-ypjF	yfjXp2
ygaC	ygaCp
ygaM	ygaMp
ygaQ_1Q_2	
ygaQ_3	
ygaQ_4	
ygaU	ygaUp4
ygaVP	
ygaXY	
ygaZH	ygaZp8
ygbA	ygbAp
ygbE	ygbEp3
ygbI	ygbIp6
ygbI	ygbIp5
ygbJK	
ygbK	ygbKp
ygbLM	ygbLp4
ygbLM	ygbLp5
ygbN	ygbNp2
ygcG	ygcGp6
ygcG	ygcGp7
ygcNOP	ygcNp3
ygcRQ	
ygcS	
ygcU	ygcUp5
ygcW	ygcWp11
ygcW	ygcWp12
ygdD	ygdDp2
ygdG	ygdGp2
ygdH	
ygdI	ygdIp10
ygdI	ygdIp7
ygdQ	ygdQp3
ygdR	ygdRp5
ygeA	ygeAp5
ygeF	
ygeG	
ygeH	ygeHp10
ygeI	ygeIp6
ygeI	ygeIp7
ygeI	ygeIp8
ygeLK	
ygeP	
ygeQ	
ygeR	ygeRp1
ygeV	ygeVp
ygeW	ygeWp5
ygeW	ygeWp6
ygeW	ygeWp1
ygeX	
ygeY	
ygfB-pepP-ubiHI	ygfBp
ygfF	
ygfI	
ssnA	ssnAp
ygfK-ssnA	ygfKp
ygfM-xdhD	
ygfS	ygfSp5
ygfTS	
ygfZ	ygfZp
yggE	yggEp2
yggE	yggEp1
yggI	yggIp6
yggI	yggIp3
yggI	yggIp4
yggI	yggIp5
yggM	yggMp1
yggM	yggMp3
yggM	yggMp4
yggN	yggNp1
yggN	yggNp2
yggN	yggNp2b
yggR	
rdgB-yggW	rdgBp
yggSTU-rdgB-yggW	
yghA	yghAp5
yghB	yghBp
yghD	yghDp2
yghD	yghDp3
yghD	yghDp4
yghED	
yghF	yghFp
yghG	
yghJ	yghJp5
yghJ	yghJp7
yghJ	yghJp6
yghO	
yghQ	yghQp6
yghQ	yghQp1
yghQ	yghQp7
yghQ	yghQp8
yghSR	
yghT	yghTp11
yghT	yghTp14
yghT	yghTp8
yghT	yghTp10
yghT	yghTp4
yghT	yghTp5
yghT	yghTp7
yghU	yghUp
yghW	yghWp6
yghX_2X_1	
yghZ	gprp1
ygiD	ygiDp2
ygiD	ygiDp3
glnE	glnEp5
glnE	glnEp7
glnE	glnEp1
glnE	glnEp6
ygiF-glnE	
ygiH	plsYp5
ygiL	ygiLp5
ygiL	ygiLp4
ygiM	ygiMp
ygiM-cca	ygiMp2
ygiN	ygiNp2
ygiQ	ygiQp1
ygiQ	ygiQp5
ygiS	ygiSp4
ygiV	ygiVp2
ygiV	ygiVp3
ygiW	ygiWp5
ygiW	ygiWp6
ygiW	ygiWp7
ygiZ	ygiZp3
ygjH	ygjHp3
ygjH	ygjHp4
ygjI	ygjIp2
ygjI	ygjIp1
ygjJK	
ygjP	
ygjQ	ygjQp6
ygjQ	ygjQp3
ygjQ	ygjQp5
ygjQ	ygjQp4
ygjR	ygjRp
ygjV	ygjVp4
yhaBC	yhaBp3
yhaH	yhaHp7
yhaH	yhaHp8
yhaI	yhaIp9
yhaI	yhaIp11
yhaI	yhaIp12
yhaI	yhaIp10
yhaJ	yhaJp7
yhaJ	yhaJp4
yhaKL	yhaKp5
yhaKL	yhaKp4
yhaKL	yhaKp3
yhaOM	
yhbE-obgE	
yhbO	
yhbP	
yhbQ	yhbQp2
yhbTS	yhbTp1
yhbTS	yhbTp2
yhbUV	yhbUp1
yhbUV	yhbUp5
yhbUV	yhbUp7
yhbW	
