ybcK	ybcKp5
ybcLM	ybcLp7
ybcLM	ybcLp2
ybcN-ninE-ybcO-rusA-ylcG	ybcNp6
ybcN-ninE-ybcO-rusA-ylcG	ybcNp5
ybcQ	quuDp3
insH-2	insHp4
nmpC	nmpCp
essD-rrrD-rzpD	essDp
borD	borDp
ybcW	ybcWp4
ybcW	ybcWp7
appY	appYp
appY	appYp2
ompT	ompTp
ybcH	ybcHp4
cusRS	cusRp
cusCFBA	cusCp
pheP	phePp
nfsB	nfsBp
ybdF	ybdFp5
ybdJ	ybdJp4
ybdJ	ybdJp5
ybdJ	ybdJp2
ybdJ	ybdJp3
ybdK	ybdKp3
hokE	hokEp
insL-2	insLp5
entD	entDp2
entD	entDp1
fepA-entD	fepAp
fes-ybdZ-entF-fepE	fesp
fepDGC	fepDp2
fepDGC	fepDp1
entS	entSp2
entS	entSp1
fepB	fepBp
entCEBAH	entCp
entH	ybdBp
cstA	cstAp1
cstA	cstAp2
cstA	cstAp3
ybdD	ybdDp2
ybdH	ybdHp6
ybdH	ybdHp7
ybdL	ybdLp3
ybdM	ybdMp2
ybdN	ybdNp
ahpCF	ahpCp2
dsbG	dsbGp
ahpCF	ahpCp
ahpF	ahpFp
uspG	uspGp
ybdR	ybdRp6
rnk	rnkp6
rnk	rnkp7
rna	rnap
citT	citTp6
citT	citTp4
citCDEFXG	citCp1
dpiBA	dpiBp
citCDEFXG	citCp2
dpiBA	dpiBp2
dcuC	dcuCp
pagP	pagPp
cspE	cspEp1
cspE	cspEp2
crcB	crcBp3
crcB	crcBp4
tatE	tatEp3
lipA	lipAp
ybeF	ybeFp7
ybeF	ybeFp4
ybeF	ybeFp6
ybeF	ybeFp5
lipB	lipBp3
lipB	lipBp2
ybeD-lipB	ybeDp
dacA	dacAp2
dacA	dacAp3
rlpA	rlpAp7
rlpA	rlpAp5
rsfS-rlmH-mrdAB-rlpA	rsfAp
cobC	cobCp7
cobC	cobCp6
ybeL	ybeLp
ybeR-djlB	ybeRp7
ybeQ	ybeQp5
ybeR-djlB	ybeRp5
ybeQ	ybeQp12
ybeQ	ybeQp10
ybeR-djlB	ybeRp6
ybeQ	ybeQp8
ybeQ	ybeQp11
ybeQ	ybeQp1
ybeT	ybeTp8
ybeU-djlC	ybeUp4
ybeU-djlC	ybeUp5
hscC	hscCp5
hscC	hscCp7
rihA	rihAp3
gltI-sroC-gltJKL	gltIp1
insH-3	insHp3
insH-3	insHp5
insH-3	insHp6
lnt	lntp4
ybeZYX-lnt	ybeZp
metT-leuW-glnUW-metU-glnVX	metTp
asnB	asnBp
umpH	umpHp
nagC	nagCp1
nagC	nagCp2
nagA	nagAp
nagBAC-umpH	nagBp
nagE	nagEp
glnS	glnSp2
glnS	glnSp1
chiP-ybfN	ybfMp
fur	furpa
fur	furpa
fur	furpb
fur	furpb
uof-fur	uofp
uof-fur	uofp
fldA-uof-fur	fldAp
fldA-uof-fur	fldAp
ybfE	ybfEp
ybfF	ybfFp1
seqA-pgm	seqAp
ybfHG	ybfHp
potE	potEp1
kdpE	kdpEp3
kdpFABC	kdpFp
ybfA	ybfAp7
ybfA	ybfAp8
rhsC-ybfB	rhsCp3
ybgA-phr	ybgAp2
ybgA-phr	ybgAp1
phr	phrBp
ybgIJKL-nei	ybgIp1
dtpD	dtpDp5
dtpD	dtpDp6
dtpD	dtpDp8
ybgIJKL-nei	ybgIp2
ybgO	ybgOp4
ybgO	ybgOp3
ybgD	ybgDp9
gltA	gltAp2
gltA	gltAp1
sdhCDAB-sucABCD	sdhCp
sdhDAB	sdhDp2
sucABCD	sucAp
sucAB	sucAp
mngAB	mngAp
mngR	mngRp
cydAB	cydAp1
cydAB	cydAp3
cydAB	cydAp4
cydAB	cydAp2
cydAB	cydAp5
cydX-ybgE	ybgEp4
ybgC-tolQRA	ybgCp6
ybgC-tolQRA	ybgCp5
tolB-pal-ybgF	tolBp6
tolB-pal-ybgF	tolBp3
lysT-valT-lysW	lysTp
nadA-pnuC	nadAp
zitB	zitBp1
zitB	zitBp2
ybgS	ybgSp1
ybgS	ybgSp5
ybgS	ybgSp2
ybgS	ybgSp7
ybgS	ybgSp8
aroG	aroGp
gpmA	gpmAp
gpmA	gpmAp2
galM	galMp4
galETKM	galEp1
galETKM	galEp2
galETKM	galEp3
acrZ	acrZp
modABC	modAp1
modABC	modAp
ybhA	ybhAp10
pgl	pglp2
ybhA	ybhAp6
ybhH	ybhHp8
ybhD	ybhDp5
ybhH	ybhHp7
ybhD	ybhDp2
ybhC	ybhCp
ybhB	ybhBp4
ybhB	ybhBp2
bioA	bioAp
bioBFCD	bioBp
uvrB	uvrBp3
uvrB	uvrBp2
uvrB	uvrBp1
ybhK	ybhKp
moaABCDE	moaAp1
moaABCDE	moaAp2
moaBCDE	moaBp
ybhM	ybhMp7
ybhN	ybhNp5
ybhQ	ybhQp
rhlE	rhlEp5
ybiA	ybiAp6
dinG	dinGp
ybiI	ybiIp6
ybiX	ybiXp2
fiu	fiup
mcbA	mcbAp5
rlmF	rlmFp1
rlmF	rlmFp7
ybiO	ybiOp2
ybiO	ybiOp5
glnQ	glnQp
glnHPQ	glnHp2
glnHPQ	glnHp1
dps	dpsp
ompX	ompXp1
rhtA	rhtAp8
ompX	ompXp2
opgE	ybiPp5
rybA-mntS	rybAp
mntR-ybiR	mntRp6
mntR-ybiR	mntRp5
mntR-ybiR	mntRp
mntR-ybiR	mntRp4
ybiS	ybisp
ybiT	ybiTp
ybiU	ybiUp5
ybiU	ybiUp7
ybiU	ybiUp6
ybiV	ybiVp5
ybiW	ybiWp4
fsaA	fsaAp6
moeAB	moeAp
iaaA-gsiABCD	iaaAp
yliEF	yliEp6
rimO	rimOp
bssR	bssRp5
gstB	gstBp
dacC	dacCp
ybjG	ybjGp
mdfA	cmrp2
mdfA	cmrp
rybB	rybBp
ybjM	ybjMp8
ybjL	ybjLp12
ybjM	ybjMp4
ybjL	ybjLp10
grxA	grxAp
ybjC-nfsA-rimK-ybjN	ybjCp
rimK-ybjN	rimKp
potFGHI	potFp2
potFGHI	potFp1
